ProvCode,Province,Year,PathogenImpact
AB,Alberta,1995,0.001165794
AB,Alberta,1996,0.000124503
AB,Alberta,1997,0.000788911
AB,Alberta,1998,0.000516989
AB,Alberta,1999,0.001349476
AB,Alberta,2000,0.010251465
AB,Alberta,2001,0.004810486
AB,Alberta,2002,0.014878944
AB,Alberta,2003,0.001007938
AB,Alberta,2004,0.047288039
AB,Alberta,2005,0.018040321
AB,Alberta,2006,0.00115764
AB,Alberta,2007,0.000617151
AB,Alberta,2008,0.003297819
AB,Alberta,2009,0.042200869
AB,Alberta,2010,0.08847623
AB,Alberta,2011,0.044989154
AB,Alberta,2012,0.079354058
AB,Alberta,2013,0.071818007
AB,Alberta,2014,0.058598425
AB,Alberta,2015,0.026378317
AB,Alberta,2016,0.19533656
AB,Alberta,2017,0.018980418
AB,Alberta,2018,0.010866709
AB,Alberta,2019,0.143342939
AB,Alberta,2020,0.026897543
AB,Alberta,2021,0.003059415
AB,Alberta,2022,0.010206599
AB,Alberta,2023,0.013662902
AB,Alberta,2024,0.012615195
MB,Manitoba,1995,0.186819026
MB,Manitoba,1996,0.326171209
MB,Manitoba,1997,0.499146431
MB,Manitoba,1998,0.460344312
MB,Manitoba,1999,0.338320533
MB,Manitoba,2000,1.196285874
MB,Manitoba,2001,1.084963461
MB,Manitoba,2002,0.608512265
MB,Manitoba,2003,0.137497984
MB,Manitoba,2004,0.476487504
MB,Manitoba,2005,0.734649721
MB,Manitoba,2006,0.027979508
MB,Manitoba,2007,0.134092243
MB,Manitoba,2008,1.024784166
MB,Manitoba,2009,0.719981765
MB,Manitoba,2010,0.715050465
MB,Manitoba,2011,0.144538447
MB,Manitoba,2012,0.34567429
MB,Manitoba,2013,0.19898491
MB,Manitoba,2014,0.403188374
MB,Manitoba,2015,0.316884912
MB,Manitoba,2016,1.236913711
MB,Manitoba,2017,0.096818322
MB,Manitoba,2018,0.046235631
MB,Manitoba,2019,0.078350449
MB,Manitoba,2020,0.0913868
MB,Manitoba,2021,0.001672305
MB,Manitoba,2022,0.051984637
MB,Manitoba,2023,0.004643178
MB,Manitoba,2024,0.167192844
SK,Saskatchewan,1995,0.001040814
SK,Saskatchewan,1996,0.001514757
SK,Saskatchewan,1997,0.00279047
SK,Saskatchewan,1998,0.022591005
SK,Saskatchewan,1999,0.014584093
SK,Saskatchewan,2000,0.032399062
SK,Saskatchewan,2001,0.081430006
SK,Saskatchewan,2002,0.081895084
SK,Saskatchewan,2003,0.001787909
SK,Saskatchewan,2004,0.090088153
SK,Saskatchewan,2005,0.029553262
SK,Saskatchewan,2006,0.003680978
SK,Saskatchewan,2007,0.018216839
SK,Saskatchewan,2008,0.076063861
SK,Saskatchewan,2009,0.059712011
SK,Saskatchewan,2010,0.217455684
SK,Saskatchewan,2011,0.083417424
SK,Saskatchewan,2012,0.572441711
SK,Saskatchewan,2013,0.093283192
SK,Saskatchewan,2014,0.990462939
SK,Saskatchewan,2015,0.303785464
SK,Saskatchewan,2016,1.301320783
SK,Saskatchewan,2017,0.023237695
SK,Saskatchewan,2018,0.04598881
SK,Saskatchewan,2019,0.198005593
SK,Saskatchewan,2020,0.082898057
SK,Saskatchewan,2021,0.000559447
SK,Saskatchewan,2022,0.039431066
SK,Saskatchewan,2023,0.002646386
SK,Saskatchewan,2024,0.042632501
